표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7098120009","098120","(주)마이크로컨텍솔루션","마이크로컨텍솔","Micro Contact Solution Co.,Ltd.","2008/09/23","KOSDAQ","주권","벤처기업부","보통주","500","8312766"
"KR7131100000","131100","(주)스카이이앤엠","스카이이앤엠","SKY E&M Co., Ltd.","2011/06/14","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","11642629"
"KR7009520008","009520","(주)포스코엠텍","포스코엠텍","POSCO M-TECH CO.,LTD.","1997/11/10","KOSDAQ","주권","우량기업부","보통주","500","41642703"
"KR7058820002","058820","CMG제약","CMG제약","CMG Pharmaceutical Co., Ltd.","2001/08/31","KOSDAQ","주권","우량기업부","보통주","500","138892244"
"KR7050120005","050120","ES큐브","ES큐브","ES CUBE","2002/04/25","KOSDAQ","주권","중견기업부","보통주","5000","13564086"
"KR7024120008","024120","KB오토시스","KB오토시스","KB Autosys Co.,Ltd","1994/12/07","KOSDAQ","주권","우량기업부","보통주","500","11500000"
"KR7044180008","044180","KD","KD","KD Corporation","2000/11/16","KOSDAQ","주권","중견기업부","보통주","500","24848641"
"KR8392070007","950110","SBI핀테크솔루션즈","SBI핀테크솔루션즈","SBI FinTech Solutions Co., Ltd.","2012/12/17","KOSDAQ","주식예탁증권","외국기업(소속부없음)","보통주","무액면","24052540"
"KR7079940003","079940","가비아","가비아","GABIA, Inc.","2005/10/19","KOSDAQ","주권","우량기업부","보통주","500","13535684"
"KR7078890001","078890","가온미디어","가온미디어","KAON Media Co., Ltd.","2005/07/12","KOSDAQ","주권","우량기업부","보통주","500","15851946"
"KR7036620003","036620","감성코퍼레이션","감성코퍼레이션","GAMSUNG Corporation","2000/01/11","KOSDAQ","주권","중견기업부","보통주","500","78155673"
"KR7217730001","217730","강스템바이오텍","강스템바이오텍","KANGSTEM BIOTECH CO., LTD.","2015/12/21","KOSDAQ","주권","기술성장기업부","보통주","500","37937925"
"KR7114190002","114190","강원에너지","강원에너지","KANGWON ENERGY","2009/11/20","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","26123038"
"KR7094480001","094480","갤럭시아머니트리","갤럭시아머니트리","GalaxiaMoneytree Co.,Ltd.","2007/07/20","KOSDAQ","주권","우량기업부","보통주","500","39229838"
"KR7039240007","039240","경남스틸","경남스틸","Kyeong Nam Steel Co., LTD","2000/03/07","KOSDAQ","주권","우량기업부","보통주","100","26979604"
"KR7053950002","053950","경남제약","경남제약","KYUNG NAM PHARM.CO.,LTD.","2001/11/06","KOSDAQ","주권","중견기업부","보통주","500","20049565"
"KR7011040003","011040","경동제약","경동제약","KyungdongPharm","1992/12/18","KOSDAQ","주권","우량기업부","보통주","500","30768766"
"KR7024910002","024910","경창산업","경창산업","KyungchangIndustrial","1994/12/29","KOSDAQ","주권","중견기업부","보통주","500","35819005"
"KR7198440000","198440","고려시멘트","고려시멘트","KOREA CEMENT co., Ltd.","2014/08/13","KOSDAQ","주권","우량기업부","보통주","100","31979960"
"KR7049720006","049720","고려신용정보","고려신용정보","KORYO CREDIT INFORMATION CO., LTD.","2002/01/31","KOSDAQ","주권","중견기업부","보통주","500","14300000"
"KR7014570006","014570","고려제약","고려제약","KOREAN DRUG CO., LTD.","2000/12/07","KOSDAQ","주권","우량기업부","보통주","500","11000000"
"KR7348150004","348150","고바이오랩","고바이오랩","KoBioLabs, Inc","2020/11/18","KOSDAQ","주권","기술성장기업부","보통주","500","16270559"
