소분류,소분류,세분류,세분류
011,작물 재배업,0111,곡물 및 기타 식량작물 재배업
011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업"
011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업"
011,작물 재배업,0112,"채소, 화훼작물 및 종묘 재배업"
011,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업"
011,작물 재배업,0113,"과실, 음료용 및 향신용 작물 재배업"
011,작물 재배업,0114,기타 작물 재배업
011,작물 재배업,0115,시설작물 재배업
011,작물 재배업,0115,시설작물 재배업
011,작물 재배업,0115,시설작물 재배업
012,축산업,0121,소 사육업
012,축산업,0121,소 사육업
012,축산업,0122,양돈업
012,축산업,0123,가금류 및 조류 사육업
012,축산업,0123,가금류 및 조류 사육업
012,축산업,0129,기타 축산업
012,축산업,0129,기타 축산업
012,축산업,0129,기타 축산업
014,작물재배 및 축산 복합농업,0130,작물재배 및 축산 복합농업
014,작물재배 및 축산 관련 서비스업,0141,작물재배 관련 서비스업
014,작물재배 및 축산 관련 서비스업,0141,작물재배 관련 서비스업
014,작물재배 및 축산 관련 서비스업,0142,축산 관련 서비스업
015,수렵 및 관련 서비스업,0150,수렵 및 관련 서비스업
020,임업,0201,영림업
020,임업,0201,영림업
020,임업,0202,벌목업
020,임업,0203,임산물 채취업
020,임업,0204,임업 관련 서비스업
051,어로 어업,0311,해수면 어업
051,어로 어업,0311,해수면 어업
051,어로 어업,0312,내수면 어업
052,양식어업 및 어업관련 서비스업,0321,양식 어업
052,양식어업 및 어업관련 서비스업,0321,양식 어업
052,양식어업 및 어업관련 서비스업,0321,양식 어업
052,양식어업 및 어업관련 서비스업,0322,어업 관련 서비스업
101,석탄 광업,0510,석탄 광업
142,원유 및 천연가스 채굴업,0520,원유 및 천연가스 채굴업
131,철 광업,0610,철 광업
132,비철금속 광업,0620,비철금속 광업
131,비철금속 광업,0620,비철금속 광업
132,비철금속 광업,0620,비철금속 광업
141,토사석 광업,0711,석회석 및 점토 광업
141,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업"
141,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업"
141,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업"
141,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업"
142,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업
142,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업
142,기타 비금속광물 광업,0722,천일염 생산 및 암염 채취업
101,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업
142,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업
142,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업
142,광업 지원 서비스업,0800,광업 지원 서비스업
