회사명,종목코드,업종
인카금융서비스,211050,보험 및 연금관련 서비스업
나래나노텍,137080,특수 목적용 기계 제조업
아셈스,136410,플라스틱제품 제조업
스코넥,276040,소프트웨어 개발 및 공급업
이지트로닉스,377330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
LG에너지솔루션,373220,일차전지 및 축전지 제조업
애드바이오텍,179530,의약품 제조업
케이옥션,102370,상품 중개업
코스텍시스템,169670,특수 목적용 기계 제조업
디비금융스팩10호,404950,기타 금융업
오토앤,353590,자동차 부품 및 내장품 판매업
래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업"
하나금융20호스팩,400560,금융 지원 서비스업
엔에이치스팩22호,396770,금융 지원 서비스업
교보11호스팩,397880,금융 지원 서비스업
하이제7호스팩,400840,금융 지원 서비스업
케이티비네트워크,298870,기타 금융업
예스피치,403360,소프트웨어 개발 및 공급업
제이엠멀티,254160,제재 및 목재 가공업
신한서부티엔디리츠,404990,부동산 임대 및 공급업
툴젠,199800,자연과학 및 공학 연구개발업
미래에셋글로벌리츠,396690,부동산 임대 및 공급업
대신밸런스제11호스팩,397500,금융 지원 서비스업
켈스,402420,의료용 기기 제조업
SK스퀘어,402340,기타 금융업
마인즈랩,377480,소프트웨어 개발 및 공급업
알비더블유,361570,오디오물 출판 및 원판 녹음업
NH올원리츠,400760,부동산 임대 및 공급업
바이옵트로,222160,특수 목적용 기계 제조업
트윔,290090,소프트웨어 개발 및 공급업
아이티아이즈,372800,소프트웨어 개발 및 공급업
지오엘리먼트,311320,전자부품 제조업
디어유,376300,소프트웨어 개발 및 공급업
비트나인,357880,소프트웨어 개발 및 공급업
지니너스,389030,자연과학 및 공학 연구개발업
카카오페이,377300,금융 지원 서비스업
피코그램,376180,그외 기타 제품 제조업
엔켐,348370,기초 화학물질 제조업
리파인,377450,기타 정보 서비스업
지앤비에스엔지니어링,382800,특수 목적용 기계 제조업
아이패밀리에스씨,114840,기타 화학제품 제조업
젬,248020,전구 및 조명장치 제조업
차백신연구소,261780,자연과학 및 공학 연구개발업
지아이텍,382480,특수 목적용 기계 제조업
엔에이치스팩21호,391710,금융 지원 서비스업
토마토시스템,393210,소프트웨어 개발 및 공급업
케이카,381970,자동차 판매업
씨유테크,376290,전자부품 제조업
아스플로,159010,일반 목적용 기계 제조업
원준,382840,특수 목적용 기계 제조업
하나금융19호스팩,388220,금융 지원 서비스업
엔에이치스팩20호,391060,금융 지원 서비스업
실리콘투,257720,상품 종합 도매업
에스앤디,260970,기타 식품 제조업
프롬바이오,377220,기타 식품 제조업
바이오플러스,99430,기초 의약물질 및 생물학적 제제 제조업
신한제8호스팩,393360,금융 지원 서비스업
대신밸런스제10호스팩,387310,금융 지원 서비스업
현대중공업,329180,선박 및 보트 건조업
SK리츠,395400,부동산 임대 및 공급업
유진스팩7호,388800,금융 지원 서비스업
와이엠텍,273640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
에이비온,203400,자연과학 및 공학 연구개발업
IBKS제16호스팩,388790,금융 지원 서비스업
일진하이솔루스,271940,그외 기타 운송장비 제조업
디앤디플랫폼리츠,377190,부동산 임대 및 공급업
바이젠셀,308080,자연과학 및 공학 연구개발업
아주스틸,139990,1차 철강 제조업
롯데렌탈,89860,운송장비 임대업
브레인즈컴퍼니,99390,소프트웨어 개발 및 공급업
딥노이드,315640,소프트웨어 개발 및 공급업
한컴라이프케어,372910,의료용 기기 제조업
엠로,58970,소프트웨어 개발 및 공급업
플래티어,367000,소프트웨어 개발 및 공급업
원티드랩,376980,소프트웨어 개발 및 공급업
크래프톤,259960,소프트웨어 개발 및 공급업
HK이노엔,195940,의약품 제조업
PI첨단소재,178920,플라스틱제품 제조업
카카오뱅크,323410,은행 및 저축기관
한화플러스제2호스팩,386580,금융 지원 서비스업
에브리봇,270660,가정용 기기 제조업
맥스트,377030,소프트웨어 개발 및 공급업
큐라클,365270,자연과학 및 공학 연구개발업
에스디바이오센서,137310,의료용 기기 제조업
오비고,352910,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
엠씨넥스,97520,영상 및 음향기기 제조업
아모센스,357580,전자부품 제조업
